age,gender,city,education_level,employment_status,monthly_income,monthly_bill,internet_usage_gb,call_minutes,contract_type,support_tickets,customer_feedback,churn,tenure_months,financial_risk,education_level_encoded,contract_type_encoded,emp_Employed,emp_Retired,emp_Self-Employed,emp_Student,emp_Unemployed,feedback_category,count_billing,count_support,count_helpful,count_poor,count_expensive,count_unreliable,count_happy,count_satisfied,count_drops,count_slow,monthly_income_scaled,age_scaled,anomaly_pay_not_use,anomaly_happy_leaver,anomaly_genz_call_enthusiast
22,0,Sialkot,Secondary,Self-Employed,29502.0,2235.0,19.8,223.0,12-Month,0,Frequent call drops in my area,0,90,0,1,2,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.2579157894736842,0.06451612903225806,0,0,1
66,1,Faisalabad,Bachelor,Employed,17428.0,11195.0,18.6,146.0,Monthly,2,Happy with data packages,1,90,0,2,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.13082105263157895,0.7741935483870968,0,0,0
25,1,Peshawar,Secondary,Employed,20382.0,3617.0,82.2,195.0,Monthly,2,Internet speed is very slow,1,90,0,1,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.1619157894736842,0.11290322580645161,0,0,1
62,1,Hyderabad,Bachelor,Student,27918.0,3166.0,23.8,75.0,Monthly,0,Coverage is poor in my location,0,90,0,2,0,False,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0.2412421052631579,0.7096774193548387,0,0,0
18,0,Lahore,Bachelor,Employed,27741.0,7508.0,8.4,185.0,12-Month,0,Satisfied with the service,0,90,0,2,2,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.23937894736842105,0.0,0,0,1
29,0,Gujranwala,Secondary,Student,21326.0,5058.0,19.7,39.0,12-Month,2,Too expensive compared to competitors,0,90,0,1,2,False,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0.17185263157894737,0.1774193548387097,0,0,0
24,0,Hyderabad,Primary,Unemployed,17346.0,5873.0,16.9,106.0,6-Month,0,Billing issues occurred multiple times,0,90,0,0,1,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0.1299578947368421,0.0967741935483871,0,0,0
37,1,Multan,Master,Self-Employed,24475.0,1852.0,11.6,172.0,12-Month,0,Coverage is poor in my location,0,90,0,3,2,False,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0.205,0.3064516129032258,0,0,0
62,1,Hyderabad,Bachelor,Employed,9019.0,4264.0,7.1,136.0,6-Month,1,Billing issues occurred multiple times,0,90,0,2,1,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.042305263157894735,0.7096774193548387,0,0,0
23,1,Lahore,Secondary,Employed,28382.0,3117.0,20.8,39.0,Monthly,0,Customer support was helpful,0,90,0,1,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.2461263157894737,0.08064516129032258,0,0,0
42,1,Gujranwala,Master,Employed,31379.0,5474.0,6.8,141.0,Monthly,2,Network quality is good overall,1,90,0,3,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.2776736842105263,0.3870967741935484,0,0,0
66,0,Gujranwala,PhD,Student,49863.0,16924.0,17.8,149.0,12-Month,1,Satisfied with the service,0,90,0,4,2,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.4722421052631579,0.7741935483870968,0,0,0
18,0,Islamabad,Secondary,Self-Employed,24201.0,4120.0,21.0,186.0,Monthly,0,Customer support was helpful,0,90,0,1,0,False,False,True,False,False,2,0,1,1,0,0,0,0,0,0,0,0.20211578947368422,0.0,0,0,1
52,0,Lahore,Bachelor,Employed,13680.0,5912.0,26.7,375.0,6-Month,2,Frequent call drops in my area,1,90,0,2,1,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.09136842105263158,0.5483870967741935,0,0,0
27,0,Rawalpindi,Master,Employed,42365.0,2788.0,3.8,137.0,12-Month,0,Service is unreliable during peak hours,0,90,0,3,2,True,False,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.39331578947368423,0.14516129032258066,0,0,0
32,1,Gujranwala,Secondary,Employed,41581.0,7204.0,45.0,210.0,12-Month,2,Too expensive compared to competitors,0,89,0,1,2,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.38506315789473683,0.22580645161290322,0,0,0
56,1,Quetta,Secondary,Student,38852.0,2725.0,33.3,135.0,6-Month,3,Internet speed is very slow,1,89,0,1,1,False,False,False,True,False,1,0,0,0,0,0,0,0,0,0,1,0.3563368421052632,0.6129032258064516,0,0,0
22,0,Sialkot,Secondary,Employed,20737.0,4511.0,14.4,69.0,6-Month,0,Service is unreliable during peak hours,0,89,0,1,1,True,False,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.16565263157894736,0.06451612903225806,0,0,0
64,0,Sialkot,Bachelor,Employed,54974.0,4865.0,18.3,196.0,12-Month,0,Customer support was helpful,0,89,0,2,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.5260421052631579,0.7419354838709677,0,0,0
27,1,Rawalpindi,Master,Student,33217.0,4270.0,47.7,218.0,12-Month,1,Coverage is poor in my location,0,89,0,3,2,False,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0.29702105263157896,0.14516129032258066,0,0,1
41,0,Sialkot,PhD,Employed,49914.0,5740.0,37.3,88.0,12-Month,1,Satisfied with the service,0,89,0,4,2,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.4727789473684211,0.3709677419354839,0,0,0
53,1,Faisalabad,Secondary,Employed,20909.0,6880.0,17.0,66.0,Monthly,2,Service is unreliable during peak hours,1,89,0,1,0,True,False,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.16746315789473684,0.5645161290322581,0,0,0
21,1,Hyderabad,Master,Employed,54465.0,5164.0,12.7,51.0,6-Month,0,Satisfied with the service,0,89,0,3,1,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.5206842105263157,0.04838709677419355,0,0,0
26,0,Hyderabad,Secondary,Self-Employed,8050.0,5183.0,16.4,177.0,Monthly,0,Service is unreliable during peak hours,0,89,0,1,0,False,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0.032105263157894734,0.12903225806451613,0,0,1
37,1,Multan,Master,Self-Employed,60000.0,5374.0,12.2,278.0,6-Month,1,Happy with data packages,0,89,0,3,1,False,False,True,False,False,3,0,0,0,0,0,0,0,0,0,0,0.5789473684210527,0.3064516129032258,0,0,0
66,1,Islamabad,Master,Self-Employed,67195.0,6495.0,9.2,230.0,12-Month,0,Service is unreliable during peak hours,0,89,0,3,2,False,False,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0.6546842105263158,0.7741935483870968,0,0,0
19,0,Rawalpindi,Primary,Self-Employed,49906.0,6235.0,24.0,256.0,6-Month,1,Frequent call drops in my area,0,89,0,0,1,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.4726947368421053,0.016129032258064516,0,0,1
18,0,Gujranwala,Secondary,Employed,24197.0,2564.0,6.4,243.0,Monthly,1,Billing issues occurred multiple times,0,89,0,1,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.20207368421052632,0.0,0,0,1
34,0,Islamabad,Secondary,Student,16530.0,3947.0,20.4,125.0,Monthly,0,Customer support was helpful,0,89,0,1,0,False,False,False,True,False,2,0,1,1,0,0,0,0,0,0,0,0.12136842105263158,0.25806451612903225,0,0,0
49,1,Karachi,Master,Employed,28286.0,4873.0,39.4,165.0,Monthly,3,Customer support was helpful,1,89,0,3,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.2451157894736842,0.5,0,0,0
47,0,Quetta,Secondary,Employed,40517.0,2500.0,23.5,130.0,Monthly,0,Billing issues occurred multiple times,0,89,0,1,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.37386315789473684,0.46774193548387094,0,0,0
62,0,Rawalpindi,Bachelor,Self-Employed,47945.0,9145.0,18.3,76.0,12-Month,1,Too expensive compared to competitors,0,89,0,2,2,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,0.4520526315789474,0.7096774193548387,0,0,0
46,1,Faisalabad,Bachelor,Employed,49077.0,2961.0,2.1,333.0,Monthly,1,Too expensive compared to competitors,1,89,0,2,0,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.4639684210526316,0.45161290322580644,0,0,0
25,1,Rawalpindi,PhD,Employed,73745.0,4053.0,12.7,542.0,6-Month,3,Satisfied with the service,1,89,0,4,1,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.7160328947368421,0.11290322580645161,0,0,1
41,0,Peshawar,Secondary,Employed,29536.0,9227.0,18.7,325.0,Monthly,1,Internet speed is very slow,1,89,0,1,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.2582736842105263,0.3709677419354839,0,0,0
28,0,Quetta,Secondary,Employed,24055.0,2230.0,16.2,22.0,Monthly,3,Customer support was helpful,1,89,0,1,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.20057894736842105,0.16129032258064516,0,0,0
59,1,Karachi,Bachelor,Unemployed,20178.0,2309.0,55.5,80.0,12-Month,2,Internet speed is very slow,0,89,0,2,2,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,1,0.1597684210526316,0.6612903225806451,0,0,0
53,1,Karachi,Master,Self-Employed,15480.0,4209.0,52.9,184.0,12-Month,0,Customer support was helpful,0,89,0,3,2,False,False,True,False,False,2,0,1,1,0,0,0,0,0,0,0,0.11031578947368421,0.5645161290322581,0,0,0
18,0,Peshawar,PhD,Student,43267.0,3547.0,28.6,199.0,Monthly,0,Happy with data packages,0,89,0,4,0,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.40281052631578945,0.0,0,0,1
25,1,Sialkot,Secondary,Student,32881.0,1800.0,14.2,93.0,6-Month,1,Customer support was helpful,0,89,0,1,1,False,False,False,True,False,2,0,1,1,0,0,0,0,0,0,0,0.2934842105263158,0.11290322580645161,0,0,0
41,0,Islamabad,Bachelor,Employed,19100.0,23867.0,2.6,439.0,6-Month,1,Frequent call drops in my area,1,89,1,2,1,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.14842105263157895,0.3709677419354839,0,0,0
46,1,Islamabad,Bachelor,Employed,6901.0,3324.0,15.7,196.0,Monthly,2,Coverage is poor in my location,1,89,0,2,0,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.020010526315789475,0.45161290322580644,0,0,0
50,1,Lahore,Secondary,Student,19595.0,2705.0,5.9,167.0,6-Month,1,Billing issues occurred multiple times,0,89,0,1,1,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0.15363157894736842,0.5161290322580645,0,0,0
39,1,Rawalpindi,Secondary,Employed,34452.0,4378.0,31.8,54.0,Monthly,0,Internet speed is very slow,0,89,0,1,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.310021052631579,0.3387096774193548,0,0,0
54,1,Rawalpindi,Secondary,Employed,33819.0,1718.0,8.8,75.0,12-Month,3,Internet speed is very slow,1,89,0,1,2,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.3033578947368421,0.5806451612903226,0,0,0
53,1,Lahore,Master,Self-Employed,40106.0,4198.0,2.9,102.0,12-Month,1,Billing issues occurred multiple times,0,88,0,3,2,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0.36953684210526316,0.5645161290322581,0,0,0
51,0,Lahore,Primary,Employed,76962.0,5901.0,6.5,309.0,12-Month,1,Happy with data packages,0,88,0,0,2,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.7160328947368421,0.532258064516129,0,0,0
21,0,Sialkot,PhD,Employed,23548.0,7572.0,25.6,169.0,Monthly,0,Frequent call drops in my area,0,88,0,4,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.19524210526315788,0.04838709677419355,0,0,1
45,0,Islamabad,Bachelor,Employed,35138.0,23798.0,31.7,141.0,Monthly,0,Billing issues occurred multiple times,0,88,0,2,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.3172421052631579,0.43548387096774194,0,0,0
51,0,Sialkot,Bachelor,Unemployed,59453.0,7775.0,20.2,206.0,Monthly,1,Coverage is poor in my location,0,88,0,2,0,False,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0.5731894736842105,0.532258064516129,0,0,0
37,0,Islamabad,Bachelor,Employed,22783.0,5225.0,5.0,134.0,Monthly,2,Happy with data packages,1,88,0,2,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.18718947368421052,0.3064516129032258,0,0,0
45,1,Lahore,Secondary,Employed,31536.0,3497.0,27.9,106.0,Monthly,2,Frequent call drops in my area,1,88,0,1,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.2793263157894737,0.43548387096774194,0,0,0
22,0,Peshawar,Secondary,Student,17046.0,3132.0,45.7,195.0,Monthly,2,Satisfied with the service,1,88,0,1,0,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.1268,0.06451612903225806,0,0,1
37,1,Islamabad,Master,Employed,5399.0,9421.0,33.3,57.0,Monthly,2,Happy with data packages,1,88,1,3,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.0042,0.3064516129032258,0,0,0
51,1,Multan,Master,Employed,90889.0,3221.0,11.8,183.0,6-Month,3,Network quality is good overall,1,88,0,3,1,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.7160328947368421,0.532258064516129,0,0,0
48,1,Hyderabad,Primary,Employed,35378.0,9128.0,55.7,199.0,6-Month,0,Frequent call drops in my area,0,88,0,0,1,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.3197684210526316,0.4838709677419355,0,0,0
55,0,Islamabad,Master,Employed,41217.0,7321.0,21.9,123.0,Monthly,1,Too expensive compared to competitors,0,88,0,3,0,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.3812315789473684,0.5967741935483871,0,0,0
27,0,Lahore,Primary,Employed,21606.0,5488.0,4.4,142.0,Monthly,3,Satisfied with the service,1,88,0,0,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.1748,0.14516129032258066,0,0,0
47,0,Karachi,Bachelor,Retired,21934.0,5590.0,26.5,154.0,Monthly,1,Customer support was helpful,1,88,0,2,0,False,True,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.17825263157894736,0.46774193548387094,0,0,0
35,0,Hyderabad,Secondary,Employed,10231.0,7792.0,22.1,98.0,Monthly,1,Coverage is poor in my location,1,88,0,1,0,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.05506315789473684,0.27419354838709675,0,0,0
49,1,Lahore,Primary,Retired,39375.0,4258.0,27.2,75.0,6-Month,1,Satisfied with the service,0,88,0,0,1,False,True,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.3618421052631579,0.5,0,0,0
20,1,Peshawar,Bachelor,Retired,20791.0,5425.0,59.5,45.0,Monthly,1,Service is unreliable during peak hours,1,88,0,2,0,False,True,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0.16622105263157894,0.03225806451612903,0,0,0
37,0,Lahore,Bachelor,Employed,50724.0,2313.0,26.2,71.0,6-Month,3,Too expensive compared to competitors,1,88,0,2,1,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.48130526315789474,0.3064516129032258,0,0,0
68,0,Gujranwala,Bachelor,Self-Employed,17303.0,3473.0,12.9,222.0,Monthly,4,Customer support was helpful,1,88,0,2,0,False,False,True,False,False,2,0,1,1,0,0,0,0,0,0,0,0.12950526315789473,0.8064516129032258,0,0,0
36,1,Karachi,Bachelor,Student,18686.0,5438.0,14.0,47.0,6-Month,1,Satisfied with the service,0,88,0,2,1,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.14406315789473684,0.2903225806451613,0,0,0
39,0,Multan,PhD,Employed,59333.0,2798.0,14.8,154.0,Monthly,1,Happy with data packages,0,88,0,4,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.5719263157894737,0.3387096774193548,0,0,0
21,0,Sialkot,Secondary,Employed,26115.0,4965.0,54.1,237.0,Monthly,1,Satisfied with the service,0,88,0,1,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.22226315789473683,0.04838709677419355,0,0,1
29,1,Peshawar,Bachelor,Employed,79544.0,4555.0,29.9,62.0,Monthly,2,Too expensive compared to competitors,1,88,0,2,0,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.7160328947368421,0.1774193548387097,0,0,0
65,1,Islamabad,Primary,Self-Employed,25704.0,2585.0,31.3,273.0,Monthly,3,Coverage is poor in my location,1,88,0,0,0,False,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0.21793684210526315,0.7580645161290323,0,0,0
34,1,Islamabad,Primary,Employed,16395.0,7480.0,26.4,145.0,Monthly,2,Coverage is poor in my location,1,88,0,0,0,True,False,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0.11994736842105264,0.25806451612903225,0,0,0
30,0,Peshawar,PhD,Employed,25793.0,11526.0,13.1,464.0,Monthly,1,Billing issues occurred multiple times,1,88,0,4,0,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.2188736842105263,0.1935483870967742,0,0,0
47,0,Quetta,Bachelor,Self-Employed,35870.0,12849.0,4.9,120.0,12-Month,0,Frequent call drops in my area,0,88,0,2,2,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.32494736842105265,0.46774193548387094,0,0,0
61,0,Sialkot,Secondary,Unemployed,45150.0,2453.0,13.8,170.0,Monthly,1,Too expensive compared to competitors,0,88,0,1,0,False,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0.4226315789473684,0.6935483870967742,0,0,0
59,0,Quetta,Secondary,Employed,15623.0,6073.0,17.0,71.0,Monthly,0,Too expensive compared to competitors,0,88,0,1,0,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.11182105263157895,0.6612903225806451,0,0,0
27,0,Multan,Master,Student,13766.0,3410.0,15.8,648.0,12-Month,3,Happy with data packages,1,88,0,3,2,False,False,False,True,False,3,0,0,0,0,0,0,0,0,0,0,0.09227368421052631,0.14516129032258066,0,0,1
30,1,Quetta,Secondary,Self-Employed,24196.0,3774.0,5.1,206.0,12-Month,0,Too expensive compared to competitors,0,87,0,1,2,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,0.20206315789473683,0.1935483870967742,0,0,0
21,1,Sialkot,Master,Student,24818.0,2727.0,6.5,202.0,Monthly,2,Customer support was helpful,1,87,0,3,0,False,False,False,True,False,2,0,1,1,0,0,0,0,0,0,0,0.20861052631578947,0.04838709677419355,0,0,1
64,0,Islamabad,Bachelor,Self-Employed,49289.0,9464.0,9.0,268.0,Monthly,0,Internet speed is very slow,0,87,0,2,0,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0,1,0.4662,0.7419354838709677,0,0,0
32,1,Hyderabad,Primary,Employed,28581.0,2112.0,10.3,186.0,6-Month,1,Satisfied with the service,0,87,0,0,1,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.24822105263157895,0.22580645161290322,0,0,0
38,0,Hyderabad,Primary,Employed,55937.0,8955.0,17.3,171.0,12-Month,0,Billing issues occurred multiple times,0,87,0,0,2,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.5361789473684211,0.3225806451612903,0,0,0
33,0,Islamabad,PhD,Student,34042.0,13495.0,19.1,150.0,12-Month,0,Frequent call drops in my area,0,87,0,4,2,False,False,False,True,False,1,0,0,0,0,0,0,0,0,1,0,0.30570526315789476,0.24193548387096775,0,0,0
53,0,Rawalpindi,Bachelor,Self-Employed,59436.0,4193.0,55.7,73.0,6-Month,2,Satisfied with the service,0,87,0,2,1,False,False,True,False,False,3,0,0,0,0,0,0,0,0,0,0,0.5730105263157895,0.5645161290322581,0,0,0
66,0,Faisalabad,Bachelor,Self-Employed,113240.0,2275.0,20.0,263.0,Monthly,2,Happy with data packages,1,87,0,2,0,False,False,True,False,False,3,0,0,0,0,0,0,0,0,0,0,0.7160328947368421,0.7741935483870968,0,0,0
22,0,Sialkot,Primary,Employed,13378.0,13330.0,8.6,129.0,6-Month,2,Internet speed is very slow,1,87,0,0,1,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.08818947368421053,0.06451612903225806,0,0,0
61,1,Sialkot,Master,Self-Employed,21309.0,5727.0,8.8,95.0,Monthly,1,Frequent call drops in my area,1,87,0,3,0,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.1716736842105263,0.6935483870967742,0,0,0
26,0,Lahore,Primary,Employed,36295.0,1990.0,21.4,73.0,Monthly,1,Frequent call drops in my area,0,87,0,0,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,1,0,0.32942105263157895,0.12903225806451613,0,0,0
44,0,Quetta,Secondary,Employed,49482.0,3029.0,14.6,240.0,Monthly,1,Customer support was helpful,0,87,0,1,0,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.46823157894736844,0.41935483870967744,0,0,0
61,1,Gujranwala,Secondary,Employed,15652.0,8581.0,37.0,91.0,6-Month,0,Customer support was helpful,0,87,0,1,1,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.11212631578947369,0.6935483870967742,0,0,0
65,1,Faisalabad,Master,Employed,27702.0,2951.0,13.9,263.0,Monthly,2,Internet speed is very slow,1,87,0,3,0,True,False,False,False,False,1,0,0,0,0,0,0,0,0,0,1,0.23896842105263158,0.7580645161290323,0,0,0
41,1,Multan,Master,Employed,15009.0,7622.0,16.3,155.0,12-Month,0,Customer support was helpful,0,87,0,3,2,True,False,False,False,False,2,0,1,1,0,0,0,0,0,0,0,0.10535789473684211,0.3709677419354839,0,0,0
31,1,Sialkot,PhD,Self-Employed,17958.0,3231.0,51.2,104.0,6-Month,1,Frequent call drops in my area,0,87,0,4,1,False,False,True,False,False,1,0,0,0,0,0,0,0,0,1,0,0.1364,0.20967741935483872,0,0,0
68,1,Hyderabad,Secondary,Student,10407.0,4740.0,13.3,120.0,Monthly,0,Customer support was helpful,0,87,0,1,0,False,False,False,True,False,2,0,1,1,0,0,0,0,0,0,0,0.05691578947368421,0.8064516129032258,0,0,0
57,0,Quetta,Primary,Employed,12188.0,4110.0,32.1,140.0,Monthly,0,Too expensive compared to competitors,0,87,0,0,0,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0.07566315789473685,0.6290322580645161,0,0,0
21,1,Hyderabad,Bachelor,Employed,27978.0,9000.0,28.6,297.0,Monthly,1,Happy with data packages,1,87,0,2,0,True,False,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0.24187368421052632,0.04838709677419355,0,0,1
